equi_steps: 10000 steps: 100000 steps_ps: 1000
j Ecorr Mcoor
407 -0.00207362 -0.001574
408 -0.00150729 -0.000991132
409 -0.000935785 -0.000438214
410 -0.000466482 4.91535e-05
411 -9.13019e-05 0.000517285
412 0.000249334 0.000907554
413 0.000745324 0.00145461
414 0.00125587 0.00202555
415 0.00174025 0.00260242
416 0.00213904 0.00303738
417 0.00269917 0.00364209
418 0.00303528 0.00399539
419 0.00329199 0.00422683
420 0.00356715 0.00443702
421 0.00362132 0.00445489
422 0.00376928 0.00463053
423 0.00401741 0.0048542
424 0.00420993 0.00501621
425 0.00440968 0.00523683
426 0.00458164 0.00540988
427 0.00462097 0.00546094
428 0.00458116 0.00542976
429 0.0043259 0.00517596
430 0.00396032 0.00482637
431 0.00363757 0.00456618
432 0.00338039 0.00433416
433 0.00327447 0.00421602
434 0.00304339 0.00401407
435 0.00275593 0.00379508
436 0.00262321 0.00372273
437 0.00258076 0.00372487
438 0.00250596 0.00369009
439 0.00228382 0.00361186
440 0.00205796 0.00351599
441 0.00180286 0.00336823
442 0.00153661 0.00324992
443 0.001287 0.0031346
444 0.00131307 0.00330033
445 0.00120896 0.00334258
446 0.00104843 0.00335732
447 0.000944482 0.00339361
448 0.000994287 0.0035375
449 0.00101049 0.00361294
450 0.00100579 0.00361165
451 0.00109086 0.00370119
452 0.0011948 0.00383406
453 0.00141315 0.00410892
454 0.00167544 0.00439622
455 0.00193276 0.00461532
456 0.00212475 0.00469755
457 0.00236235 0.00478316
458 0.00251911 0.00486193
459 0.00248222 0.00480281
460 0.00246922 0.00478346
461 0.00257568 0.00493451
462 0.00278875 0.00525616
463 0.00305163 0.00564611
464 0.00336462 0.00600141
465 0.00374354 0.00644334
466 0.00415843 0.00686479
467 0.00466471 0.00738034
468 0.00509944 0.00778093
469 0.00555051 0.00823609
470 0.00590816 0.00858188
471 0.00625252 0.00890256
472 0.00665341 0.00925091
473 0.00711522 0.009648
474 0.00752667 0.0100795
475 0.0079322 0.0105026
476 0.00843347 0.0110648
477 0.00881995 0.0114629
478 0.00908666 0.0117621
479 0.00936923 0.0121278
480 0.00975732 0.0125004
481 0.0100272 0.0127397
482 0.0104736 0.0131141
483 0.0108915 0.0134459
484 0.0114034 0.0138575
485 0.01193 0.0143351
486 0.012576 0.0149306
487 0.0132533 0.0155121
488 0.0139082 0.016121
489 0.0145245 0.0167267
490 0.015056 0.0172414
491 0.0155226 0.0177799
492 0.0160068 0.0183057
493 0.0164129 0.018747
494 0.0169246 0.0192147
495 0.0174291 0.0196586
496 0.017857 0.020041
497 0.0183215 0.0204295
498 0.0189343 0.0209532
499 0.0194443 0.0213886
500 0.01988 0.0217261
501 0.0201963 0.0220135
502 0.0204853 0.022267
503 0.0206794 0.022475
504 0.0208854 0.0227298
505 0.0212927 0.0232372
506 0.021634 0.0236701
507 0.0219794 0.0240738
508 0.0222847 0.0244009
509 0.0225421 0.0246461
510 0.0228384 0.0249363
511 0.0231442 0.0252326
512 0.023311 0.0253309
513 0.0234085 0.0253012
514 0.0236879 0.0254473
515 0.0237896 0.0254302
516 0.023825 0.0253941
517 0.0238296 0.0253122
518 0.0238237 0.0251815
519 0.0237518 0.0249692
520 0.0237601 0.024724
521 0.0236979 0.0245041
522 0.0234217 0.0240864
523 0.0230343 0.0235476
524 0.0226636 0.0230086
525 0.0222157 0.0224151
526 0.0217014 0.0218086
527 0.0211486 0.0211514
528 0.0206365 0.0205224
529 0.0199799 0.0197896
530 0.0191748 0.0189595
531 0.0183675 0.0181816
532 0.0175117 0.0174021
533 0.0164151 0.0164099
534 0.0154326 0.0154575
535 0.0144072 0.0144428
536 0.0133475 0.0134579
537 0.0122926 0.0124856
538 0.0112439 0.0114702
539 0.0101932 0.0105088
540 0.00915228 0.00955804
541 0.00808502 0.00857855
542 0.00693117 0.00749877
543 0.00577274 0.00642268
544 0.00474311 0.00544418
545 0.00386673 0.00460769
546 0.00299968 0.00374856
547 0.00202566 0.00276973
548 0.00110902 0.00178291
549 0.000418581 0.000977693
550 -0.00036197 5.35382e-05
551 -0.000988882 -0.000716016
552 -0.00160893 -0.001463
553 -0.00233342 -0.00230664
554 -0.00301471 -0.00309939
555 -0.00369959 -0.00381198
556 -0.00457389 -0.00469267
557 -0.00520587 -0.00537469
558 -0.00579963 -0.00611563
